1;2777.00;9.60;1822.00;small
1;2813.00;9.50;1841.00;small
2;2751.00;9.60;1837.00;small
2;2783.00;9.65;1874.00;small
3;2747.00;9.60;1953.00;small
3;2748.00;9.60;1913.00;small
4;2701.00;9.60;1874.00;small
4;2674.00;9.60;1849.00;small
5;2908.00;9.50;1844.00;small
5;2891.00;9.50;1811.00;small
6;2960.00;9.50;1842.00;small
6;2976.00;9.60;1903.00;small
7;2938.00;9.73;1796.00;big
7;2984.00;10.07;1768.00;big
8;3037.00;9.60;1840.00;big
9;3108.00;9.60;1953.00;big
9;3147.00;9.50;2008.00;big
10;3062.00;9.50;1986.00;big
10;3032.00;9.60;1941.00;big
11;2938.00;12.13;2001.00;big
11;2981.00;11.07;2060.00;big
12;3325.00;9.60;2207.00;big
12;3271.00;9.60;2151.00;big
12;3407.00;9.50;2182.00;big
12;3257.00;9.70;2205.00;big
12;3200.00;9.50;2176.00;big
13;3264.00;9.50;2058.00;big
13;3196.00;9.60;2043.00;big
14;3766.00;9.60;1935.00;big
14;3809.00;9.50;1922.00;big
14;3870.00;9.50;1902.00;big
14;3934.00;9.50;1945.00;big
14;3899.00;9.50;2043.00;big
14;3782.00;9.50;2018.00;big
14;3851.00;9.50;1985.00;big
14;3827.00;9.57;2062.00;big
14;3974.00;9.50;1900.00;big
16;2806.00;9.50;2044.00;big
16;2840.00;9.50;1909.00;big
17;3555.00;10.98;1091.00;big
17;3449.00;11.90;1062.00;big
17;3417.00;12.73;1173.00;big
17;3413.00;11.25;968.00;big
18;2850.00;9.50;1828.00;small
18;2768.00;9.50;1789.00;small
19;2906.00;9.80;1757.00;big
19;2853.00;9.50;1769.00;big
20;2896.00;10.30;1694.00;big
20;2837.00;9.60;1685.00;big
21;3043.00;12.00;1744.00;big
21;2954.00;9.50;1718.00;big
22;3110.00;10.65;1774.00;small
22;3042.00;9.93;1787.00;small
23;3054.00;9.60;1611.00;small
23;3000.00;9.88;1668.00;small
24;3076.00;9.60;1696.00;small
24;3143.00;10.95;1657.00;small
25;3161.00;9.50;1595.00;small
25;3229.00;9.60;1620.00;small
26;3249.00;9.55;1724.00;small
26;3211.00;9.50;1666.00;small
27;3181.00;10.57;1729.00;small
27;3105.00;9.60;1736.00;small
28;3406.00;10.15;1521.00;big
28;3510.00;9.50;1488.00;big
28;3365.00;9.70;1450.00;big
29;3130.00;9.50;1523.00;big
29;3040.00;9.50;1532.00;big
30;3369.00;9.50;1668.00;big
30;3270.00;9.50;1663.00;big
31;4056.00;9.90;1237.00;big
31;4037.00;9.60;1138.00;big
32;1249.00;9.50;239.00;big
32;1159.00;9.50;526.00;big
33;618.00;9.60;2001.00;big
33;360.00;9.60;1989.00;big
34;1547.00;9.60;1094.00;big
34;1465.00;9.50;1150.00;big
35;1734.00;11.23;303.00;big
35;1893.00;9.50;479.00;big
36;2268.00;16.70;2291.00;big
36;2052.00;12.48;2157.00;big
37;3224.00;9.60;1958.00;big
37;3180.00;9.50;1915.00;big
38;3132.00;9.60;1801.00;small
38;3123.00;9.50;1858.00;small
39;3210.00;9.50;1858.00;big
39;3200.00;9.50;1796.00;big
40;3574.00;9.50;1908.00;big
40;3664.00;9.50;1977.00;big
40;3671.00;9.50;1919.00;big
40;3550.00;9.50;1981.00;big
41;2828.00;10.65;1640.00;big
41;2800.00;12.25;1608.00;big
41;2774.00;10.88;1648.00;big
42;2744.00;9.50;1715.00;small
42;2711.00;9.50;1692.00;small
43;2618.00;9.50;1935.00;big
43;2661.00;9.50;1790.00;big
44;2247.00;9.50;2088.00;big
44;2446.00;9.50;2164.00;big
45;2886.00;9.50;2199.00;big
45;2658.00;9.50;2193.00;big
46;3195.00;9.50;2280.00;big
46;3476.00;9.50;2199.00;big
47;2540.00;9.50;1527.00;big
47;2596.00;9.50;1629.00;big
48;2536.00;9.50;1343.00;big
48;2624.00;9.50;1462.00;big
49;2314.00;9.50;1915.00;big
49;2420.00;9.50;1738.00;big
50;1801.00;9.60;2038.00;big
50;2084.00;9.50;1862.00;big
51;2236.00;9.50;1681.00;big
51;2272.00;9.50;1548.00;big
52;1335.00;9.50;1272.00;big
52;1367.00;9.50;1369.00;big
53;1855.00;9.50;1175.00;big
53;1611.00;9.50;1255.00;big
54;1706.00;9.50;1553.00;big
54;1784.00;9.50;1628.00;big
55;1874.00;9.50;1641.00;big
55;1882.00;9.50;1746.00;big
56;2068.00;9.50;1596.00;big
56;2043.00;9.50;1436.00;big
57;1810.00;9.50;1379.00;big
57;1870.00;9.50;1496.00;big
58;2250.00;9.50;1348.00;big
58;2390.00;9.50;1432.00;big
59;2061.00;9.50;1037.00;big
59;2050.00;9.50;1234.00;big
60;3865.00;9.50;1036.00;big
60;3793.00;9.50;832.00;big
61;2448.00;9.50;1144.00;big
61;2263.00;9.50;1016.00;big
62;2883.00;9.50;732.00;big
62;2704.00;9.50;901.00;big
63;1660.00;9.50;65.00;big
63;1886.00;9.50;275.00;big
